"","Tax","TaxLevel","SP","value","Vari"
"236","CBDR_P",15,"Null",29440.6941712876,"CO2_Effect"
"237","CBDR_P",30,"Null",28492.1656034958,"CO2_Effect"
"238","CBDR_P",45,"Null",27715.6169824191,"CO2_Effect"
"239","CBDR_P",60,"Null",27050.6089733285,"CO2_Effect"
"240","CBDR_P",75,"Null",26464.8601999701,"CO2_Effect"
"241","CBDR_P",90,"Null",25938.7965736003,"CO2_Effect"
"242","CBDR_P",105,"Null",25459.5549706147,"CO2_Effect"
"243","CBDR_P",120,"Null",25018.1878584002,"CO2_Effect"
"244","CBDR_P",135,"Null",24608.1989960469,"CO2_Effect"
"245","CBDR_P",150,"Null",24224.7104743005,"CO2_Effect"
"246","CBDR_P",165,"Null",23863.9584637933,"CO2_Effect"
"247","CBDR_P",180,"Null",23522.9725950968,"CO2_Effect"
"248","CBDR_P",0,"Universal",30706.615004915,"CO2_Effect"
"249","CBDR_P",15,"Universal",29625.3060253785,"CO2_Effect"
"250","CBDR_P",30,"Universal",28842.4161157228,"CO2_Effect"
"251","CBDR_P",45,"Universal",28218.8653253775,"CO2_Effect"
"252","CBDR_P",60,"Universal",27697.4387187869,"CO2_Effect"
"253","CBDR_P",75,"Universal",27247.8229961353,"CO2_Effect"
"254","CBDR_P",90,"Universal",26851.7648154322,"CO2_Effect"
"255","CBDR_P",105,"Universal",26497.3441940599,"CO2_Effect"
"256","CBDR_P",120,"Universal",26176.3179550644,"CO2_Effect"
"257","CBDR_P",135,"Universal",25882.7341407723,"CO2_Effect"
"258","CBDR_P",150,"Universal",25612.1469130814,"CO2_Effect"
"259","CBDR_P",165,"Universal",25361.1430066221,"CO2_Effect"
"260","CBDR_P",180,"Universal",25127.0416705088,"CO2_Effect"
"261","CBDR_P",0,"Cash",30706.615004915,"CO2_Effect"
"262","CBDR_P",15,"Cash",29628.7587169996,"CO2_Effect"
"263","CBDR_P",30,"Cash",28848.4161103682,"CO2_Effect"
"264","CBDR_P",45,"Cash",28226.8361003976,"CO2_Effect"
"265","CBDR_P",60,"Cash",27706.9713775323,"CO2_Effect"
"266","CBDR_P",75,"Cash",27258.6120739996,"CO2_Effect"
"267","CBDR_P",90,"Cash",26863.5741432259,"CO2_Effect"
"268","CBDR_P",105,"Cash",26509.9864947685,"CO2_Effect"
"269","CBDR_P",120,"Cash",26189.6417644336,"CO2_Effect"
"270","CBDR_P",135,"Cash",25896.6149987635,"CO2_Effect"
"271","CBDR_P",150,"Cash",25626.4812035914,"CO2_Effect"
"272","CBDR_P",165,"Cash",25375.843517056,"CO2_Effect"
"273","CBDR_P",180,"Cash",25142.0343100996,"CO2_Effect"
"274","CBDR_P",0,"SP_current",30706.615004915,"CO2_Effect"
"275","CBDR_P",15,"SP_current",29628.0106470087,"CO2_Effect"
"276","CBDR_P",30,"SP_current",28847.2740130965,"CO2_Effect"
"277","CBDR_P",45,"SP_current",28225.5051486915,"CO2_Effect"
"278","CBDR_P",60,"SP_current",27705.5844360966,"CO2_Effect"
"279","CBDR_P",75,"SP_current",27257.2597220097,"CO2_Effect"
"280","CBDR_P",90,"SP_current",26862.320175779,"CO2_Effect"
"281","CBDR_P",105,"SP_current",26508.8768543929,"CO2_Effect"
"282","CBDR_P",120,"SP_current",26188.7100451766,"CO2_Effect"
"283","CBDR_P",135,"SP_current",25895.8860050901,"CO2_Effect"
"284","CBDR_P",150,"SP_current",25625.9733382329,"CO2_Effect"
"285","CBDR_P",165,"SP_current",25375.5704314709,"CO2_Effect"
"286","CBDR_P",180,"SP_current",25142.0060736393,"CO2_Effect"
"287","CBDR_P",0,"SP_covid",30706.615004915,"CO2_Effect"
"288","CBDR_P",15,"SP_covid",29627.227119147,"CO2_Effect"
"289","CBDR_P",30,"SP_covid",28845.9592154393,"CO2_Effect"
"290","CBDR_P",45,"SP_covid",28223.8141138222,"CO2_Effect"
"291","CBDR_P",60,"SP_covid",27703.6237255983,"CO2_Effect"
"292","CBDR_P",75,"SP_covid",27255.1065373336,"CO2_Effect"
"293","CBDR_P",90,"SP_covid",26860.0324002301,"CO2_Effect"
"294","CBDR_P",105,"SP_covid",26506.4990065811,"CO2_Effect"
"295","CBDR_P",120,"SP_covid",26186.2770600292,"CO2_Effect"
"296","CBDR_P",135,"SP_covid",25893.425750504,"CO2_Effect"
"297","CBDR_P",150,"SP_covid",25623.5083505358,"CO2_Effect"
"298","CBDR_P",165,"SP_covid",25373.1191466231,"CO2_Effect"
"299","CBDR_P",180,"SP_covid",25139.5837215682,"CO2_Effect"
"300","CBDR_P",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"301","CBDR_P",15,"PerfectTargeted",29640.7020371179,"CO2_Effect"
"302","CBDR_P",30,"PerfectTargeted",28865.0197616756,"CO2_Effect"
"303","CBDR_P",45,"PerfectTargeted",28245.5018924507,"CO2_Effect"
"304","CBDR_P",60,"PerfectTargeted",27726.9581760064,"CO2_Effect"
"305","CBDR_P",75,"PerfectTargeted",27282.2449910294,"CO2_Effect"
"306","CBDR_P",90,"PerfectTargeted",26888.7672310075,"CO2_Effect"
"307","CBDR_P",105,"PerfectTargeted",26534.6373872165,"CO2_Effect"
"308","CBDR_P",120,"PerfectTargeted",26215.5360958608,"CO2_Effect"
"309","CBDR_P",135,"PerfectTargeted",25921.714342453,"CO2_Effect"
"310","CBDR_P",150,"PerfectTargeted",25651.8580600082,"CO2_Effect"
"311","CBDR_P",165,"PerfectTargeted",25403.7806917808,"CO2_Effect"
"312","CBDR_P",180,"PerfectTargeted",25170.0194667129,"CO2_Effect"
"313","CBDR_C",0,"Null",30706.615004915,"CO2_Effect"
"314","CBDR_C",15,"Null",29544.2163218223,"CO2_Effect"
"315","CBDR_C",30,"Null",28673.7997615568,"CO2_Effect"
"316","CBDR_C",45,"Null",27961.8961479949,"CO2_Effect"
"317","CBDR_C",60,"Null",27352.4308164801,"CO2_Effect"
"318","CBDR_C",75,"Null",26815.4251264086,"CO2_Effect"
"319","CBDR_C",90,"Null",26332.7544644332,"CO2_Effect"
"320","CBDR_C",105,"Null",25892.5619960133,"CO2_Effect"
"321","CBDR_C",120,"Null",25486.641256874,"CO2_Effect"
"322","CBDR_C",135,"Null",25109.0630462244,"CO2_Effect"
"323","CBDR_C",150,"Null",24755.3950239553,"CO2_Effect"
"324","CBDR_C",165,"Null",24422.2304183174,"CO2_Effect"
"325","CBDR_C",180,"Null",24106.8893840896,"CO2_Effect"
"326","CBDR_C",0,"Universal",30706.615004915,"CO2_Effect"
"327","CBDR_C",15,"Universal",29733.0045641329,"CO2_Effect"
"328","CBDR_C",30,"Universal",29031.7295964706,"CO2_Effect"
"329","CBDR_C",45,"Universal",28476.0921335455,"CO2_Effect"
"330","CBDR_C",60,"Universal",28013.4153404617,"CO2_Effect"
"331","CBDR_C",75,"Universal",27615.759698418,"CO2_Effect"
"332","CBDR_C",90,"Universal",27266.3478241759,"CO2_Effect"
