"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"EST",-150.778994262442,-150.778994262442,-150.778994262442,-131.535022982434,-131.535022982434,-131.535022982434
"ETH",3972.01116043115,1765.94390078259,1628.87532774868,3972.01116043115,1765.94390078259,1628.87532774868
"FIN",-296.513043071172,-296.513043071172,-296.513043071172,-338.637765347001,-338.637765347001,-338.637765347001
"FJI",1.57716107555323,14.5634042563215,0.53705173035526,1.57716107555323,14.5634042563215,0.53705173035526
"FRA",-3564.83064796925,-3564.83064796925,-3564.83064796925,-2501.84182398529,-2501.84182398529,-2501.84182398529
"FSM",2.46574571909113,1.84994370320453,2.09503390403491,2.46574571909113,1.84994370320453,2.09503390403491
"GAB",7.13716758233822,34.2701568952473,5.83690168702386,7.13716758233822,34.2701568952473,5.83690168702386
"GBR",-6886.83490389342,-6886.83490389342,-6886.83490389342,-2888.89025011437,-2888.89025011437,-2888.89025011437
"GEO",31.9575464754929,61.8745348177507,24.0481137565557,31.9575464754929,61.8745348177507,24.0481137565557
"GHA",1018.68308609579,483.335596799755,1261.60072040003,1018.68308609579,483.335596799755,1261.60072040003
"GIN",230.251431922085,200.287322359569,42.1294539556162,230.251431922085,200.287322359569,42.1294539556162
"GMB",41.0174038432975,36.7446045210837,13.3589930769387,41.0174038432975,36.7446045210837,13.3589930769387
"GNB",54.8499177190939,30.3421571781928,17.086473583234,54.8499177190939,30.3421571781928,17.086473583234
"GRC",-379.845852806547,-379.845852806547,-379.845852806547,-525.825279356494,-525.825279356494,-525.825279356494
"GTM",211.307699338183,267.006555027492,204.868600440597,211.307699338183,267.006555027492,204.868600440597
"GUY",2.54025645838223,12.8664704040948,2.28245198996483,2.54025645838223,12.8664704040948,2.28245198996483
"HND",181.211828654003,156.495534551231,74.5433723568744,181.211828654003,156.495534551231,74.5433723568744
"HRV",-102.767473125337,-102.767473125337,-102.767473125337,-137.045173879241,-137.045173879241,-137.045173879241
"HTI",443.388243948299,182.276856280953,507.791493250692,443.388243948299,182.276856280953,507.791493250692
"HUN",-464.792950206704,-464.792950206704,-464.792950206704,-365.558744545025,-365.558744545025,-365.558744545025
"IDN",2415.03146813093,4392.47264647301,1013.16952911054,2415.03146813093,4392.47264647301,1013.16952911054
"IND",24801.9540448474,22218.3245972777,9140.15799370745,24801.9540448474,22218.3245972777,9140.15799370745
"IRL",-208.030521725688,-208.030521725688,-208.030521725688,-297.390381806113,-297.390381806113,-297.390381806113
"IRN",122.696180377151,1338.9629656887,119.780533752744,122.696180377151,1338.9629656887,119.780533752744
"IRQ",5.19215402229719,623.272225696148,2.11344023363723,5.19215402229719,623.272225696148,2.11344023363723
"ISL",-14.275811580588,-14.275811580588,-14.275811580588,-13.1456310455403,-13.1456310455403,-13.1456310455403
"ISR",-223.220059996987,-223.220059996987,-223.220059996987,-516.458013823549,-516.458013823549,-516.458013823549
"ITA",-2303.80820326602,-2303.80820326602,-2303.80820326602,-2591.26372885042,-2591.26372885042,-2591.26372885042
"JAM",6.94612787075712,48.4779821248468,5.77138951519196,6.94612787075712,48.4779821248468,5.77138951519196
"JOR",0,162.41782406911,0,0,162.41782406911,0
"JPN",-6131.59626029095,-6131.59626029095,-6131.59626029095,-9093.54939295908,-9093.54939295908,-9093.54939295908
"KAZ",0,299.377092714168,0,0,299.377092714168,0
"KEN",2041.45268707559,833.531843518499,1841.80104451582,2041.45268707559,833.531843518499,1841.80104451582
"KGZ",11.1407469041256,102.872942654402,5.97162314118275,11.1407469041256,102.872942654402,5.97162314118275
"KHM",33.4239463638442,265.711888206196,8.32589652010386,33.4239463638442,265.711888206196,8.32589652010386
"KIR",0.268312941758439,1.89462344274596,0.0363908474226723,0.268312941758439,1.89462344274596,0.0363908474226723
"KOR",14.202883987739,852.465381066037,18.23807316028,14.202883987739,852.465381066037,18.23807316028
"LAO",68.2555364673526,115.401045357891,30.2228264007816,68.2555364673526,115.401045357891,30.2228264007816
"LBN",0,113.182692970214,0,0,113.182692970214,0
"LBR",179.439382424418,78.0438869188077,76.5663591890795,179.439382424418,78.0438869188077,76.5663591890795
"LCA",1.27598665937553,3.00335151141095,1.9211970691503,1.27598665937553,3.00335151141095,1.9211970691503
"LKA",38.5437992662497,355.910971295054,23.7774420291369,38.5437992662497,355.910971295054,23.7774420291369
"LSO",93.6946717019208,34.7136348449303,50.1796663282677,93.6946717019208,34.7136348449303,50.1796663282677
"LTU",-144.839638208723,-144.839638208723,-144.839638208723,-88.3197530727523,-88.3197530727523,-88.3197530727523
"LUX",-70.0332721891351,-70.0332721891351,-70.0332721891351,-70.8447200300526,-70.8447200300526,-70.8447200300526
"LVA",-88.2824116751017,-88.2824116751017,-88.2824116751017,-56.0460442784933,-56.0460442784933,-56.0460442784933
"MAR",68.8739026311244,590.550258289915,32.8723048296506,68.8739026311244,590.550258289915,32.8723048296506
"MDA",-123.322340217591,-123.322340217591,-123.322340217591,-63.4453859077613,-63.4453859077613,-63.4453859077613
"MDG",2853.10865867942,424.399617912743,3040.86523489321,2853.10865867942,424.399617912743,3040.86523489321
"MDV",0,8.23883111028363,0,0,8.23883111028363,0
"MEX",448.553647297464,2070.95781068176,699.003532835332,448.553647297464,2070.95781068176,699.003532835332
