"","Universal_P","Universal_C","Luxury","CBDR_P","CBDR_C","Luxury&CBDR","Null"
"MLT",499.32,473.332722142647,473.332722142647,1075.99604542849,973.022399750745,973.022399750745,0
"MMR",1748.99275067896,2314.44945342698,2314.44945342698,202.697503347197,281.700119287933,281.700119287933,0
"MNE",180.935606891379,191.119108023536,191.119108023536,80.6379573698348,63.17314665386,63.17314665386,0
"MNG",1046.1,976.236369962393,976.236369962393,121.236556394638,118.821303902069,118.821303902069,0
"MOZ",374.4,661.463722658294,661.463722658294,15.8650783110116,29.5456854653921,29.5456854653921,0
"MRT",891.751138277491,453.368352835218,453.368352835218,103.348472579831,55.1811226146893,55.1811226146893,0
"MUS",257.16,398.102942724822,398.102942724822,114.609045027139,131.590272914999,131.590272914999,0
"MWI",61.08,193.36537158505,193.36537158505,2.58824514753362,8.63707600741982,8.63707600741982,0
"MYS",12496.44,11244.4147219522,11244.4147219522,5569.31503592681,3716.7663014586,3716.76630145861,0
"NAM",198.36,538.82654228441,538.82654228441,88.4035237656839,178.105520315286,178.105520315286,0
"NER",91.68,196.014318633011,196.014318633011,3.88491020179899,8.75539686707181,8.75539686707181,0
"NGA",4082.88,7334.77332372993,7334.77332372993,473.18068193532,892.742123698258,892.742123698258,0
"NIC",266.22,438.482770415833,438.482770415833,30.8532607240039,53.3693438622944,53.3693438622944,0
"NLD",10136.88,10785.5925083278,10785.5925083278,21844.1936893838,22171.7675838689,22171.7675838689,0
"NOR",3058.26,3344.72536642544,3344.72536642544,6590.31415904055,6875.69768642717,6875.69768642717,0
"NPL",742.56,1848.37793937849,1848.37793937849,86.0581371918576,224.972848398624,224.972848398624,0
"NRU",8.15962019682301,10.3353938990268,10.3353938990268,17.5833514859809,21.2463016046661,21.2463016046661,0
"PAK",9040.98,13766.8527433818,13766.8527433818,1047.79397919204,1675.61406635508,1675.61406635508,0
"PAN",2404.26,1331.86192815752,1331.86192815752,5180.99465709745,2737.88696375387,2737.88696375387,0
"PER",2603.58,3862.65506238894,3862.65506238894,1160.34304499828,1276.77487224104,1276.77487224104,0
"PHL",7176.3,10242.3427982127,10242.3427982127,831.68903513511,1246.63305295877,1246.63305295877,0
"PNG",887.067293184046,1123.60498023797,1123.60498023797,102.805643739553,136.758077173336,136.758077173336,0
"POL",15220.44,16297.0734909032,16297.0734909032,32798.8729665977,33501.6296470075,33501.6296470075,0
"PRT",3215.52,3528.73160150792,3528.73160150792,6929.19731634265,7253.95631942126,7253.95631942126,0
"PRY",325.92,749.669022082678,749.669022082678,145.25346070635,247.798095981342,247.798095981342,0
"ROU",3760.38,4704.7531070156,4704.7531070156,8103.32854543855,9671.48465396712,9671.48465396712,0
"RUS",81658.74,76354.958716487,76354.958716487,36393.0246131569,25238.6224204857,25238.6224204857,0
"RWA",41.4,117.351851400863,117.351851400863,1.75431154400609,5.24177029140337,5.24177029140337,0
"SDN",857.7,1524.6105413034,1524.6105413034,36.3447587269088,68.0999758075043,68.0999758075043,0
"SEN",453.3,795.20350650238,795.20350650238,52.5346821658439,96.7871310856307,96.7871310856307,0
"SLB",40.7981001156307,51.6769683950672,51.6769683950672,4.72824889156174,6.28979308222706,6.28979308222706,0
"SLE",240.185119072825,122.110673186147,122.110673186147,10.177766354781,5.45433319823794,5.45433319823794,0
"SLV",336.96,623.762829708342,623.762829708342,39.0515916668934,75.9204584382005,75.9204584382005,0
"SOM",63.8605897715483,123.960275187098,123.960275187098,2.70607173534455,5.5369496095154,5.5369496095154,0
"SRB",2660.94,2389.21594945359,2389.21594945359,1185.90679839211,789.739399285945,789.739399285945,0
"SSD",147.07286572359,285.48425520138,285.48425520138,6.23216488282494,12.7517620703427,12.7517620703427,0
"STP",5.43950801810557,8.5892576678549,8.5892576678549,0.630405525854259,1.04543000757561,1.04543000757561,0
"SUR",135.754526381495,156.414189945526,156.414189945526,60.5020089698814,51.701667417559,51.701667417559,0
"SVK",1650.66,1732.02297244717,1732.02297244717,3557.04484568411,3560.49153214063,3560.49153214063,0
"SVN",812.04,968.361596868482,968.361596868482,1749.88349901816,1990.64522846885,1990.64522846885,0
"SWE",2035.56,4041.31951032895,4041.31951032895,4386.47462595613,8307.67496973243,8307.67496973243,0
"SWZ",38.1,171.683010777766,171.683010777766,4.41555568170892,20.8961680041003,20.8961680041003,0
"SYC",56.1199083786458,108.934779822391,108.934779822391,120.934069304718,223.935460027541,223.935460027541,0
"SYR",1371.9,1887.95499156243,1887.95499156243,58.1338165995641,84.3295292587594,84.3295292587594,0
"TCD",37.14,69.2330979253988,69.2330979253988,1.57379542860836,3.09244371993358,3.09244371993358,0
"TGO",107.16,297.334181325632,297.334181325632,4.54087017042736,13.2810642498307,13.2810642498307,0
"THA",14476.14,14646.5347531967,14646.5347531967,6451.61215227549,4841.31439029427,4841.31439029427,0
"TJK",307.32,530.975819639041,530.975819639041,35.6164979554537,64.6270116246655,64.6270116246655,0
"TKM",4012.32,3417.36270634409,3417.36270634409,1788.17920183267,1129.58645344201,1129.58645344201,0
"TLS",32.8272493210372,43.440436913813,43.440436913813,3.80447630588927,5.28729467062745,5.28729467062745,0
"TON",20.9818812505315,26.5767281118406,26.5767281118406,9.35103971455997,8.7847602469048,8.7847602469048,0
"TUN",1396.26,1565.11470947326,1565.11470947326,161.817946880391,190.495843279313,190.495843279313,0
"TUR",21255.48,25808.607798442,25808.607798442,9472.97505208216,8530.86319962389,8530.86319962389,0
"TUV",1.16565999710027,1.47648480343001,1.47648480343001,0.519502174109503,0.488042205637507,0.488042205637507,0
"TZA",482.22,978.526490205662,978.526490205662,55.8863323053458,119.100042824087,119.100042824087,0
"UGA",237.24,513.992630047899,513.992630047899,10.0529678913045,22.9585751398342,22.9585751398342,0
"UKR",9555.84,7798.9660232737,7798.9660232737,1107.46308675857,949.240717193333,949.240717193333,0
"URY",381.54,676.652014045589,676.652014045589,822.189239711579,1390.98257040508,1390.98257040508,0
"USA",239192.34,331325.167052646,331325.167052646,515441.023665758,681099.772025111,681099.772025111,0
"UZB",4637.94,6210.75158382164,6210.75158382164,537.508722268374,755.93332117913,755.93332117913,0
"VEN",6336.18,7190.88287074433,7190.88287074433,2823.85883854432,2376.89837956086,2376.89837956086,0
"VNM",10418.16,11891.7884402096,11891.7884402096,1207.40067141608,1447.39312288446,1447.39312288446,0
"VUT",19.8162206020679,25.1002424833604,25.1002424833604,2.29657809631124,3.05504243838599,3.05504243838599,0
"WSM",36.135460995714,45.7710302814141,45.7710302814141,4.18787769319674,5.57095972483409,5.57095972483409,0
"YEM",390.48,818.226089211206,818.226089211206,16.5464630846256,36.5478103232289,36.5478103232289,0
"ZAF",23584.98,17801.8805480026,17801.8805480026,10511.1682796087,5884.29290092212,5884.29290092212,0
"ZMB",316.08,504.316307705624,504.316307705624,13.3937872664117,22.5263616009909,22.5263616009909,0
"ZWE",519.42,709.992742849552,709.992742849552,60.1975835221324,86.4158169702694,86.4158169702694,0
