"","Pop","PPop_ipl_ori","PPop_npl_ori","PPop_ipl_tax","PPop_npl_tax","Size","ChgrateIPL"
"S49",7371975398,717815457.61987,1442187232.31669,373761320.210258,824850635.784643,49,-0.4793072282818
"S50",7371975398,717815457.61987,1442187232.31669,373679772.051061,824664488.822645,50,-0.479420834304534
"S51",7371975398,717815457.61987,1442187232.31669,372991402.848065,824170247.625609,51,-0.480379812264244
"S52",7371975398,717815457.61987,1442187232.31669,372521046.071484,823922287.359666,52,-0.481035073684971
"S53",7371975398,717815457.61987,1442187232.31669,372155838.223895,823447592.204837,53,-0.481543850479498
"S54",7371975398,717815457.61987,1442187232.31669,372065923.327409,823434673.375399,54,-0.481669112335496
"S55",7371975398,717815457.61987,1442187232.31669,368417051.528745,823045017.210251,55,-0.486752413008295
"S56",7371975398,717815457.61987,1442187232.31669,368417051.528745,823044988.699602,56,-0.486752413008295
"S57",7371975398,717815457.61987,1442187232.31669,368407802.126178,823044988.699602,57,-0.486765298496436
"S58",7371975398,717815457.61987,1442187232.31669,368110769.943592,822833945.197813,58,-0.487179098700141
"S59",7371975398,717815457.61987,1442187232.31669,367905560.433911,819610074.500797,59,-0.487464979294523
"S60",7371975398,717815457.61987,1442187232.31669,367865087.946649,819564602.423677,60,-0.487521362152865
"S61",7371975398,717815457.61987,1442187232.31669,367866208.969907,819374344.760471,61,-0.487519800437738
"S62",7371975398,717815457.61987,1442187232.31669,366758967.30191,819082579.595283,62,-0.489062316214242
"S63",7371975398,717815457.61987,1442187232.31669,366753768.746835,819017131.751521,63,-0.489069558403053
"S64",7371975398,717815457.61987,1442187232.31669,366716649.23683,818285388.479793,64,-0.489121270176059
"S65",7371975398,717815457.61987,1442187232.31669,366580006.51751,818294532.124408,65,-0.489311629296735
"S66",7371975398,717815457.61987,1442187232.31669,366377811.853324,817933472.389503,66,-0.489593309862456
"S67",7371975398,717815457.61987,1442187232.31669,366377728.662138,816979918.328032,67,-0.489593425757405
"S68",7371975398,717815457.61987,1442187232.31669,363769403.805988,816955756.700161,68,-0.493227124124391
"S69",7371975398,717815457.61987,1442187232.31669,363075560.550574,815767936.737974,69,-0.49419372807259
"S70",7371975398,717815457.61987,1442187232.31669,362710612.60689,815767190.856184,70,-0.494702142790899
"S71",7371975398,717815457.61987,1442187232.31669,362471423.023731,815671485.768878,71,-0.495035361559901
"S72",7371975398,717815457.61987,1442187232.31669,362363675.568571,813481584.660239,72,-0.495185466233766
"S73",7371975398,717815457.61987,1442187232.31669,362275187.032143,812814591.785223,73,-0.495308741005141
"S74",7371975398,717815457.61987,1442187232.31669,362254409.65533,812680723.127985,74,-0.495337686295456
"S75",7371975398,717815457.61987,1442187232.31669,362249269.301378,812256858.730285,75,-0.495344847403366
"S76",7371975398,717815457.61987,1442187232.31669,360188795.50061,812191281.532016,76,-0.498215325851406
"S77",7371975398,717815457.61987,1442187232.31669,360186961.60195,812122715.783738,77,-0.498217880684464
"S78",7371975398,717815457.61987,1442187232.31669,359870311.017959,812103884.864594,78,-0.49865901159162
"S79",7371975398,717815457.61987,1442187232.31669,356948400.654002,811919112.043833,79,-0.502729570859939
"S80",7371975398,717815457.61987,1442187232.31669,356943356.709265,811697487.89848,80,-0.502736597658657
"S81",7371975398,717815457.61987,1442187232.31669,356566866.788235,811656489.79663,81,-0.503261091687077
"S82",7371975398,717815457.61987,1442187232.31669,356500808.181082,811251674.340246,82,-0.503353118971321
"S83",7371975398,717815457.61987,1442187232.31669,355103158.608812,811239387.767852,83,-0.505300206565262
"S84",7371975398,717815457.61987,1442187232.31669,354589989.96791,809232846.723902,84,-0.506015109867292
"S85",7371975398,717815457.61987,1442187232.31669,354563125.348036,809141411.614544,85,-0.506052535391624
"S86",7371975398,717815457.61987,1442187232.31669,354543141.617402,808826976.181361,86,-0.506080375040967
"S87",7371975398,717815457.61987,1442187232.31669,353993277.735651,808067007.029998,87,-0.506846399059975
"S88",7371975398,717815457.61987,1442187232.31669,353511439.74761,807846595.828414,88,-0.507517655136904
"S89",7371975398,717815457.61987,1442187232.31669,353470601.119221,807814719.209308,89,-0.507574548072206
"S90",7371975398,717815457.61987,1442187232.31669,351343887.482056,807400587.85456,90,-0.510537306277799
"S91",7371975398,717815457.61987,1442187232.31669,351332004.182193,807375822.865975,91,-0.510553861089676
"S92",7371975398,717815457.61987,1442187232.31669,351224990.370764,807297287.323701,92,-0.510702943712921
"S93",7371975398,717815457.61987,1442187232.31669,351216458.501194,806701142.842239,93,-0.510714829594563
"S94",7371975398,717815457.61987,1442187232.31669,350647194.201928,806688492.224364,94,-0.511507880640237
"S95",7371975398,717815457.61987,1442187232.31669,350165928.984213,804914780.816551,95,-0.51217833878182
"S96",7371975398,717815457.61987,1442187232.31669,350162549.970783,804797177.687003,96,-0.512183046138557
"S97",7371975398,717815457.61987,1442187232.31669,350161495.117275,804786205.593224,97,-0.512184515671563
"S98",7371975398,717815457.61987,1442187232.31669,350070505.461735,804447388.839613,98,-0.512311274791299
"S99",7371975398,717815457.61987,1442187232.31669,349630323.668478,804190549.957667,99,-0.512924498968327
"S100",7371975398,717815457.61987,1442187232.31669,348178483.83652,804182330.435451,100,-0.514947079865054
"S101",7371975398,717815457.61987,1442187232.31669,347965531.52317,804173010.969119,101,-0.515243747080966
"S102",7371975398,717815457.61987,1442187232.31669,347957228.896411,803875020.973433,102,-0.515255313600843
"S103",7371975398,717815457.61987,1442187232.31669,347055084.621808,803811886.153583,103,-0.516512104973927
"S104",7371975398,717815457.61987,1442187232.31669,346189487.887973,803747638.371488,104,-0.517717981393341
"S105",7371975398,717815457.61987,1442187232.31669,346106949.725828,801636846.552344,105,-0.517832966604747
"S106",7371975398,717815457.61987,1442187232.31669,346106491.437413,801302905.842063,106,-0.517833605053544
"S107",7371975398,717815457.61987,1442187232.31669,346033091.775294,801300836.220977,107,-0.517935859276882
"S108",7371975398,717815457.61987,1442187232.31669,346032088.828505,801300625.099713,108,-0.517937256497823
"S109",7371975398,717815457.61987,1442187232.31669,344813813.0954,801121571.411479,109,-0.519634455576183
"S110",7371975398,717815457.61987,1442187232.31669,344726581.421892,799751027.576499,110,-0.519755979392064
"S111",7371975398,717815457.61987,1442187232.31669,344538024.239509,800442331.573486,111,-0.520018661367468
"S112",7371975398,717815457.61987,1442187232.31669,344123582.861947,800439694.903942,112,-0.520596026166682
"S113",7371975398,717815457.61987,1442187232.31669,344065300.761787,800169423.552526,113,-0.520677219876767
"S114",7371975398,717815457.61987,1442187232.31669,344064828.635438,798799237.328376,114,-0.520677877603407
"S115",7371975398,717815457.61987,1442187232.31669,343625870.510222,798776844.59563,115,-0.521289397069247
"S116",7371975398,717815457.61987,1442187232.31669,343488700.699446,798538406.270135,116,-0.521480490489318
"S117",7371975398,717815457.61987,1442187232.31669,342451875.730126,798490101.320903,117,-0.522924907655755
"S118",7371975398,717815457.61987,1442187232.31669,342452268.889459,798487578.112175,118,-0.522924359939307
"S119",7371975398,717815457.61987,1442187232.31669,342288304.585415,798129507.964122,119,-0.52315278118923
"S120",7371975398,717815457.61987,1442187232.31669,341805943.29286,798129507.964122,120,-0.523824766289905
"S121",7371975398,717815457.61987,1442187232.31669,341801219.809461,797756600.651296,121,-0.523831346648895
"S122",7371975398,717815457.61987,1442187232.31669,341041690.318981,796101959.543007,122,-0.524889459123929
"S123",7371975398,717815457.61987,1442187232.31669,340461127.299087,796054907.809977,123,-0.525698250594955
"S124",7371975398,717815457.61987,1442187232.31669,340446312.177806,795858805.60547,124,-0.525718889773346
"S125",7371975398,717815457.61987,1442187232.31669,338671816.647729,794997586.051157,125,-0.528190967396138
"S126",7371975398,717815457.61987,1442187232.31669,338222857.849112,794190193.738563,126,-0.528816418957331
"S127",7371975398,717815457.61987,1442187232.31669,338243508.245987,794226344.116556,127,-0.528787650564765
"S128",7371975398,717815457.61987,1442187232.31669,338203578.620919,794226344.116556,128,-0.528843277153249
"S129",7371975398,717815457.61987,1442187232.31669,338204437.113172,793997399.132898,129,-0.528842081174193
"S130",7371975398,717815457.61987,1442187232.31669,338191624.603765,792949414.417853,130,-0.528859930482495
"S131",7371975398,717815457.61987,1442187232.31669,337650764.956503,792940299.092519,131,-0.529613410560864
"S132",7371975398,717815457.61987,1442187232.31669,337619816.005076,792626817.475453,132,-0.529656526031698
"S133",7371975398,717815457.61987,1442187232.31669,336904436.308969,791538938.306433,133,-0.530653132734037
"S134",7371975398,717815457.61987,1442187232.31669,336883985.010914,791382116.912408,134,-0.530681623758908
"S135",7371975398,717815457.61987,1442187232.31669,336852745.923981,779670450.224027,135,-0.530725143422077
"S136",7371975398,717815457.61987,1442187232.31669,336493866.068048,779088545.061349,136,-0.531225104591933
"S137",7371975398,717815457.61987,1442187232.31669,336088809.149733,778340651.519334,137,-0.531789395753422
"S138",7371975398,717815457.61987,1442187232.31669,336062548.557699,777677286.139479,138,-0.531825979797072
"S139",7371975398,717815457.61987,1442187232.31669,335441834.972278,777582932.891678,139,-0.53269070565221
"S140",7371975398,717815457.61987,1442187232.31669,335431168.195248,777544185.901229,140,-0.532705565707
"S141",7371975398,717815457.61987,1442187232.31669,334299341.976608,777440307.771376,141,-0.53428233060754
"S142",7371975398,717815457.61987,1442187232.31669,334299341.976608,777299567.899149,142,-0.53428233060754
"S143",7371975398,717815457.61987,1442187232.31669,333938446.372844,777236966.779671,143,-0.534785099947393
"S144",7371975398,717815457.61987,1442187232.31669,333529784.499845,776632511.500523,144,-0.535354413227931
"S145",7371975398,717815457.61987,1442187232.31669,333529784.499845,776605525.03309,145,-0.535354413227931
"S146",7371975398,717815457.61987,1442187232.31669,333024802.392738,775732585.97129,146,-0.53605791174102
"S147",7371975398,717815457.61987,1442187232.31669,332710071.394931,775700048.401789,147,-0.536496368442482
"S148",7371975398,717815457.61987,1442187232.31669,332647162.549892,775616554.342105,148,-0.536584007743603
"S149",7371975398,717815457.61987,1442187232.31669,332647162.549892,775448582.288908,149,-0.536584007743603
"S150",7371975398,717815457.61987,1442187232.31669,332634350.935754,775016862.987217,150,-0.536601855804691
"S151",7371975398,717815457.61987,1442187232.31669,332022448.692727,774588114.37143,151,-0.537454306440201
"S152",7371975398,717815457.61987,1442187232.31669,331615400.486187,774600997.367702,152,-0.538021371696624
"S153",7371975398,717815457.61987,1442187232.31669,331540782.222214,774198492.950829,153,-0.538125323573365
"S154",7371975398,717815457.61987,1442187232.31669,331607943.535232,773118208.704503,154,-0.538031760092244
"S155",7371975398,717815457.61987,1442187232.31669,331602312.259259,773053528.210073,155,-0.538039605111341
"S156",7371975398,717815457.61987,1442187232.31669,331594153.948269,772609191.401131,156,-0.538050970582651
"S157",7371975398,717815457.61987,1442187232.31669,330996042.94582,772129209.770356,157,-0.538884208424076
"S158",7371975398,717815457.61987,1442187232.31669,330085660.134797,771961566.144872,158,-0.540152477031779
"S159",7371975398,717815457.61987,1442187232.31669,329751376.033998,770919315.913056,159,-0.540618173468448
"S160",7371975398,717815457.61987,1442187232.31669,329754871.31875,770175962.42238,160,-0.540613304132304
"S161",7371975398,717815457.61987,1442187232.31669,329727694.477052,770139540.492045,161,-0.540651164617767
"S162",7371975398,717815457.61987,1442187232.31669,329724686.541202,769808161.469711,162,-0.540655355020492
"S163",7371975398,717815457.61987,1442187232.31669,329432656.354849,769598431.633916,163,-0.541062186864601
"S164",7371975398,717815457.61987,1442187232.31669,329416804.335591,769598431.633916,164,-0.541084270561865
"S165",7371975398,717815457.61987,1442187232.31669,329415897.433437,767755656.230296,165,-0.541085533981515
"S166",7371975398,717815457.61987,1442187232.31669,329412165.676093,767714492.235577,166,-0.541090732751344
"S167",7371975398,717815457.61987,1442187232.31669,328438995.956416,767314023.101746,167,-0.542446470788672
"S168",7371975398,717815457.61987,1442187232.31669,328420191.140335,766555031.623369,168,-0.542472668073617
"S169",7371975398,717815457.61987,1442187232.31669,328283975.684283,766519905.915455,169,-0.542662431967116
"S170",7371975398,717815457.61987,1442187232.31669,328283975.684283,766523812.389258,170,-0.542662431967116
"S171",7371975398,717815457.61987,1442187232.31669,326645816.365844,766507261.907238,171,-0.544944577469904
