"","Tax","TaxLevel","SP","value","Vari"
"293","CBDR_C",60,"Cash",28024.6061152851,"CO2_Effect"
"294","CBDR_C",70,"Cash",27754.6435371534,"CO2_Effect"
"295","CBDR_C",80,"Cash",27507.9944963578,"CO2_Effect"
"296","CBDR_C",90,"Cash",27280.7659119782,"CO2_Effect"
"297","CBDR_C",100,"Cash",27069.9860605029,"CO2_Effect"
"298","CBDR_C",0,"SP_current",30706.615004915,"CO2_Effect"
"299","CBDR_C",10,"SP_current",30018.4035563124,"CO2_Effect"
"300","CBDR_C",20,"SP_current",29481.6275271276,"CO2_Effect"
"301","CBDR_C",30,"SP_current",29037.0119935485,"CO2_Effect"
"302","CBDR_C",40,"SP_current",28655.7772237958,"CO2_Effect"
"303","CBDR_C",50,"SP_current",28321.2014230784,"CO2_Effect"
"304","CBDR_C",60,"SP_current",28022.5607572506,"CO2_Effect"
"305","CBDR_C",70,"SP_current",27752.5203195554,"CO2_Effect"
"306","CBDR_C",80,"SP_current",27505.8255982031,"CO2_Effect"
"307","CBDR_C",90,"SP_current",27278.577013367,"CO2_Effect"
"308","CBDR_C",100,"SP_current",27067.7978912934,"CO2_Effect"
"309","CBDR_C",0,"SP_covid",30706.615004915,"CO2_Effect"
"310","CBDR_C",10,"SP_covid",30017.7199137861,"CO2_Effect"
"311","CBDR_C",20,"SP_covid",29480.4154455009,"CO2_Effect"
"312","CBDR_C",30,"SP_covid",29035.3746550714,"CO2_Effect"
"313","CBDR_C",40,"SP_covid",28653.7900382606,"CO2_Effect"
"314","CBDR_C",50,"SP_covid",28318.9222490747,"CO2_Effect"
"315","CBDR_C",60,"SP_covid",28020.0353747594,"CO2_Effect"
"316","CBDR_C",70,"SP_covid",27749.7857569475,"CO2_Effect"
"317","CBDR_C",80,"SP_covid",27502.9123177277,"CO2_Effect"
"318","CBDR_C",90,"SP_covid",27275.5104228926,"CO2_Effect"
"319","CBDR_C",100,"SP_covid",27064.599429395,"CO2_Effect"
"320","CBDR_C",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"321","CBDR_C",10,"PerfectTargeted",30030.7521456849,"CO2_Effect"
"322","CBDR_C",20,"PerfectTargeted",29499.1471089652,"CO2_Effect"
"323","CBDR_C",30,"PerfectTargeted",29057.7052576906,"CO2_Effect"
"324","CBDR_C",40,"PerfectTargeted",28680.1317717595,"CO2_Effect"
"325","CBDR_C",50,"PerfectTargeted",28347.5603842397,"CO2_Effect"
"326","CBDR_C",60,"PerfectTargeted",28049.7191228617,"CO2_Effect"
"327","CBDR_C",70,"PerfectTargeted",27782.4737054869,"CO2_Effect"
"328","CBDR_C",80,"PerfectTargeted",27534.5492585783,"CO2_Effect"
"329","CBDR_C",90,"PerfectTargeted",27308.2410965853,"CO2_Effect"
"330","CBDR_C",100,"PerfectTargeted",27098.8737522106,"CO2_Effect"
"331","Luxury&CBDR_C",0,"Null",30706.615004915,"CO2_Effect"
"332","Luxury&CBDR_C",10,"Null",29947.8123910505,"CO2_Effect"
"333","Luxury&CBDR_C",20,"Null",29323.830919183,"CO2_Effect"
"334","Luxury&CBDR_C",30,"Null",28786.5943210876,"CO2_Effect"
"335","Luxury&CBDR_C",40,"Null",28311.2864213841,"CO2_Effect"
"336","Luxury&CBDR_C",50,"Null",27882.8849551033,"CO2_Effect"
"337","Luxury&CBDR_C",60,"Null",27491.4598143058,"CO2_Effect"
"338","Luxury&CBDR_C",70,"Null",27130.0533044131,"CO2_Effect"
"339","Luxury&CBDR_C",80,"Null",26793.5796483099,"CO2_Effect"
"340","Luxury&CBDR_C",90,"Null",26478.1981664936,"CO2_Effect"
