"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"LCA",1.35872961812041,3.00335151141095,2.75442742795532,1.35872961812041,3.00335151141095,2.75442742795532
"LKA",39.9396244295667,355.910971295054,29.5240493074771,39.9396244295667,355.910971295054,29.5240493074771
"LSO",97.4384211457473,34.7136348449303,70.6822947436433,97.4384211457473,34.7136348449303,70.6822947436433
"LTU",-144.839638208723,-144.839638208723,-144.839638208723,-88.3197530727523,-88.3197530727523,-88.3197530727523
"LUX",-70.0332721891351,-70.0332721891351,-70.0332721891351,-70.8447200300526,-70.8447200300526,-70.8447200300526
"LVA",-88.2824116751017,-88.2824116751017,-88.2824116751017,-56.0460442784933,-56.0460442784933,-56.0460442784933
"MAR",73.831665424203,590.550258289915,44.7286741518552,73.831665424203,590.550258289915,44.7286741518552
"MDA",-123.322340217591,-123.322340217591,-123.322340217591,-63.4453859077613,-63.4453859077613,-63.4453859077613
"MDG",2947.07010557572,424.399617912743,4053.93616188291,2947.07010557572,424.399617912743,4053.93616188291
"MDV",0,8.23883111028363,0,0,8.23883111028363,0
"MEX",336.577089185591,2070.95781068176,595.09481112813,336.577089185591,2070.95781068176,595.09481112813
"MHL",0.0713147787560313,0.96351891515537,0.0468896741135755,0.0713147787560313,0.96351891515537,0.0468896741135755
"MKD",-59.0515591196564,-59.0515591196564,-59.0515591196564,-61.320040703511,-61.320040703511,-61.320040703511
"MLI",405.103428469582,307.255017087331,165.582064340794,405.103428469582,307.255017087331,165.582064340794
"MLT",-9.70469409054598,-9.70469409054598,-9.70469409054598,-11.9648858993804,-11.9648858993804,-11.9648858993804
"MMR",152.836270835792,886.001907260241,27.2162701027138,152.836270835792,886.001907260241,27.2162701027138
"MNE",-9.6826067338272,-9.6826067338272,-9.6826067338272,-17.8686125685515,-17.8686125685515,-17.8686125685515
"MNG",3.18594363793954,51.6802514216976,1.30136680398634,3.18594363793954,51.6802514216976,1.30136680398634
"MOZ",2662.80032619122,475.49411994072,2234.96431875207,2662.80032619122,475.49411994072,2234.96431875207
"MRT",39.9694634375727,71.0789926912289,21.3899375781994,39.9694634375727,71.0789926912289,21.3899375781994
"MUS",0.227865268269394,20.9890711221018,0.458140351473547,0.227865268269394,20.9890711221018,0.458140351473547
"MWI",1670.18525395763,293.276233613181,2521.33529396965,1670.18525395763,293.276233613181,2521.33529396965
"MYS",0.851408364760499,516.251071294887,0.363386872388052,0.851408364760499,516.251071294887,0.363386872388052
"NAM",53.9517489889714,39.876883304693,63.8805353646056,53.9517489889714,39.876883304693,63.8805353646056
"NER",1581.21928094707,358.539773147389,709.438786534439,1581.21928094707,358.539773147389,709.438786534439
"NGA",8852.90813318838,3167.96692473469,18171.0257732737,8852.90813318838,3167.96692473469,18171.0257732737
"NIC",36.1810963770368,105.970699202407,11.6309712872649,36.1810963770368,105.970699202407,11.6309712872649
"NLD",-1090.61225097455,-1090.61225097455,-1090.61225097455,-1226.08591141326,-1226.08591141326,-1226.08591141326
"NOR",-245.517862960396,-245.517862960396,-245.517862960396,-296.918102890439,-296.918102890439,-296.918102890439
"NPL",327.414917531189,458.62594152711,104.650839434389,327.414917531189,458.62594152711,104.650839434389
"NRU",0.025421056540475,0.175548887492435,0.0324582372332343,0.025421056540475,0.175548887492435,0.0324582372332343
"PAK",1474.52414947857,3450.66690633153,707.932606262665,1474.52414947857,3450.66690633153,707.932606262665
"PAN",12.3835941887755,68.1609011434229,21.0512101026368,12.3835941887755,68.1609011434229,21.0512101026368
"PER",203.32577630933,521.888220424458,273.143952299795,203.32577630933,521.888220424458,273.143952299795
"PHL",453.026327774073,1745.57901823577,248.574920334374,453.026327774073,1745.57901823577,248.574920334374
"PNG",351.003799821159,140.04804609236,401.715544910039,351.003799821159,140.04804609236,401.715544910039
"POL",-2586.04998416979,-2586.04998416979,-2586.04998416979,-2462.71978564865,-2462.71978564865,-2462.71978564865
"PRT",-244.12642833091,-244.12642833091,-244.12642833091,-419.794338769252,-419.794338769252,-419.794338769252
"PRY",9.69072111969892,113.974131818666,9.34937909539919,9.69072111969892,113.974131818666,9.34937909539919
"ROU",-794.779367987515,-794.779367987515,-794.779367987515,-584.154067618881,-584.154067618881,-584.154067618881
"RUS",-10804.1169021424,-10804.1169021424,-10804.1169021424,-12551.7168647928,-12551.7168647928,-12551.7168647928
"RWA",895.904899567121,198.850732636037,801.411203031428,895.904899567121,198.850732636037,801.411203031428
"SDN",895.707625606243,677.38929882632,621.862000250102,895.707625606243,677.38929882632,621.862000250102
"SEN",204.474824669879,255.918544062781,90.6672186872764,204.474824669879,255.918544062781,90.6672186872764
"SLB",24.2944716254919,10.5563353419508,28.9027312734223,24.2944716254919,10.5563353419508,28.9027312734223
"SLE",280.62141940807,124.287135191294,105.076473091505,280.62141940807,124.287135191294,105.076473091505
